Trish Marchant	3283		63	65864
Paul Clark	2224		53	65864
Jamie Cocozza	5351		804	14426
Angela McCormack	2472		804	14427
Stewart McDonald	5173	stewartmcdonald	102	14430
Brian Smith	3744		804	14430
Tommy Ball	4819	tommy_ball	46	14431
Melanie Ward	4338		53	14432
Richard Ford	5357		85	65996
Richard Graham	3224		52	65996
Sophy Gardner	4339	sophygardner	53	65996
Jeremy Hilton	1202	jeremy4glos	90	65996
Jonathan Ingleby	4611		63	65996
Christine Jardine	4499	Cajardine	90	14433
David Coburn	5285	DavidCoburnUKIP	85	14433
Braden Davy	5130		53	14433
Alex Salmond	4911	alexsalmond	102	14433
Colin Clark	5046		52	14433
Christopher Wood	5282		85	65928
Mike Sheehan	5316		90	66083
Julia Marshall	4695		63	66083
Liz Evans	4340		53	66083
Darren Thomas	4963		77	66083
Byron Davies	3245		52	66083
Harrish Bisnauthsing	1840		90	65683
Nicholas Boles	3525	NickBolesMP	52	65683
Marietta King	5037		85	65683
Tanmanjit Singh Dhesi	4341		53	65944
Mark Lindop	5153		63	65944
Sean Marriott	5249		85	65944
